Fish;hakai_id;Stock 1;Region 1;Prob 1;Stock 2;Region 2;Prob 2;Stock 3;Region 3;Prob 3;Stock 4;Region 4;Prob 4;Stock 5;Region 5;Prob 5
Hakai_P_A12 (15) unkn 141 10;;Kuzkwa_Cr;3;0.36;Porter_Cr;1;0.34;Weaver;4;0.12;Pinchi_Cr;3;0.10;Stellako;3;0.04
Hakai_P_A12 (15) unkn 141 16;=CONCATENATE(“U”, TRIM(RIGHT(SUBSTITUTE(A3,” “,REPT(” “,255)),255)));Kuzkwa_Cr;3;0.41;Pinchi_Cr;3;0.22;Portage_Cr;4;0.15;Stellako;3;0.14;Tachie;3;0.04
Hakai_P_A12 (15) unkn 141 17;;Chilko_south;2;0.32;Kuzkwa_Cr;3;0.24;Chilko;3;0.21;Pinchi_Cr;3;0.10;Tachie;3;0.04
Hakai_P_A12 (15) unkn 141 21;;L_Horsefly;3;0.68;Chilko;3;0.24;McKinley;3;0.05;U_Horsefly;3;0.03;Tachie;3;0.00
Hakai_P_A12 (15) unkn 141 25;;Chilko;3;1.00;Chilko_south;2;0.00;Little;4;0.00;L_Shuswap;4;0.00;Chilko-North;3;0.00
Hakai_P_A12 (15) unkn 141 31;;Chilko;3;0.85;Thompson_N;2;0.06;Eagle_L;4;0.04;Portage_Cr;4;0.02;Seymour;2;0.01
Hakai_P_A12 (15) unkn 141 35;;Weaver;4;0.29;Chilko_south;2;0.19;Pinchi_Cr;3;0.12;Kuzkwa_Cr;3;0.11;Thompson_N;2;0.11
Hakai_P_A12 (15) unkn 141 42;;Mitchell;3;1.00;Wasko_Cr;3;0.00;;;;;;;;;
Hakai_P_A12 (15) unkn 141 43;;L_Horsefly;3;0.44;Thompson_N;2;0.44;Portage_Cr;4;0.07;Little;4;0.02;Chilko;3;0.01
Hakai_P_A12 (15) unkn 141 7;;Kuzkwa_Cr;3;0.75;Pinchi_Cr;3;0.20;Tachie;3;0.04;Weaver;4;0.00;Chilko;3;0.00
Hakai_P_A12 (15) unkn 142 133;;Birkenhead;3;0.49;Weaver;4;0.29;LakeWashington;5;0.14;Chilko;3;0.03;L_Adams;4;0.01
Hakai_P_A12 (15) unkn 142 134;;Porter_Cr;1;0.84;Forfar;1;0.06;Narrows;1;0.04;Bivouac;1;0.03;FiveMile;1;0.01
Hakai_P_A12 (15) unkn 142 135;;Kuzkwa_Cr;3;0.72;Pinchi_Cr;3;0.12;Chilko;3;0.06;Tachie;3;0.04;Weaver;4;0.03
Hakai_P_A12 (15) unkn 142 136;;Chilko;3;0.68;Chilko_south;2;0.32;Eagle_L;4;0.00;Chilko-North;3;0.00;Portage_Cr;4;0.00
Hakai_P_A12 (15) unkn 142 156;;Chilko;3;0.48;Chilko_south;2;0.18;Thompson_N;2;0.13;Little;4;0.10;L_Shuswap;4;0.04
Hakai_P_A12 (15) unkn 142 158;;Kuzkwa_Cr;3;0.58;Pinchi_Cr;3;0.22;Stellako;3;0.09;Tachie;3;0.04;Mitchell;3;0.02
Hakai_P_A12 (15) unkn 142 159;;Porter_Cr;1;0.31;Kuzkwa_Cr;3;0.29;Pinchi_Cr;3;0.20;Narrows;1;0.05;Forfar;1;0.03
Hakai_P_A12 (15) unkn 142 160;;Birkenhead;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 142 161;;Porter_Cr;1;0.81;Forfar;1;0.07;Narrows;1;0.06;Bivouac;1;0.03;Hudson_Bay;1;0.01
Hakai_P_A12 (15) unkn 142 162;;Chilko;3;0.96;Chilko_south;2;0.04;Little;4;0.00;McKinley;3;0.00;Kuzkwa_Cr;3;0.00
Hakai_P_A12 (15) unkn 142 171;;Porter_Cr;1;0.60;Portage_Cr;4;0.13;Little;4;0.09;Eagle_L;4;0.04;Narrows;1;0.02
Hakai_P_A12 (15) unkn 142 85;;Kuzkwa_Cr;3;0.64;Pinchi_Cr;3;0.20;Stellako;3;0.09;Tachie;3;0.04;Porter_Cr;1;0.03
Hakai_P_A12 (15) unkn 143 20;;Mitchell;3;1.00;;;;;;;;;;;;
Hakai_P_A12 (15) unkn 143 67;;Kuzkwa_Cr;3;0.57;Pinchi_Cr;3;0.22;Stellako;3;0.12;Tachie;3;0.03;Chilko;3;0.02
Hakai_P_A12 (15) unkn 143 69;;Kuzkwa_Cr;3;0.48;Stellako;3;0.27;Pinchi_Cr;3;0.22;Tachie;3;0.03;Nadina;2;0.00
Hakai_P_A12 (15) unkn 143 81;;Kuzkwa_Cr;3;0.51;Pinchi_Cr;3;0.18;Stellako;3;0.12;Portage_Cr;4;0.05;Tachie;3;0.03
Hakai_P_A12 (15) unkn 143 97;;Chilko;3;0.93;Chilko_south;2;0.06;Thompson_N;2;0.00;Chilko-North;3;0.00;Mitchell;3;0.00
Hakai_P_A12 (15) unkn 143 98;;Chilko;3;0.87;Thompson_N;2;0.13;Chilko_south;2;0.00;Chilko-North;3;0.00;Raft;2;0.00
Hakai_P_A12 (15) unkn 144 1119;;Chilko;3;0.84;Chilko_south;2;0.16;Tachie;3;0.00;Thompson_N;2;0.00;Stellako;3;0.00
Hakai_P_A12 (15) unkn 144 1120;;Chilko;3;0.78;Thompson_N;2;0.20;Chilko_south;2;0.01;Kuzkwa_Cr;3;0.01;Stellako;3;0.01
